Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
International House,Услуги,ih.by,Операционный директор / собственник,Директор — Фурс В.; Исполнительный директор — Старикович А.,+375 17 293-65-55; +375 17 293-06-68; +375 29 777-73-18; +375 44 777-73-18; +375 25 777-73-18; +375 29 607-50-49,office@ih.by,,B,собран
FCBMINSK,Реклама / маркетинг / медиа,fcb.by,Управляющий / директор по развитию,Руководитель агентства — Прокопчик Н.; Директор по стратегии и развитию — Царикова Н.,+375 17 224-22-17,pr@fcb.by; hr@fcb.by,,B,собран
PRIMARY,Реклама / маркетинг / медиа,primary.by,Управляющий / директор по развитию,,+375 17 347-10-19,,,B,частично
Wunder Digital,Реклама / маркетинг / медиа,wunder-digital.by,Управляющий / директор по развитию,COO — Липская А.; CBDO — Григорьев Д.,+375 17 388-44-60; +375 29 310-20-93; +375 44 740-20-86,info@wunder.by,,B,собран
PG Brand Reforming,Реклама / маркетинг / медиа,pgr.by,Управляющий / директор по развитию,Сооснователь — Яцкевич В.; Сооснователь — Духневич В.,+375 17 388-91-58,hello@pgr.by,https://www.facebook.com/pgr.by/; https://by.linkedin.com/company/pgr-by,B,собран
Молоко Криэйтив,Реклама / маркетинг / медиа,mlk.by,Управляющий / директор по развитию,,+375 17 235-06-68; +375 29 689-00-40,info@mlk.by,,B,собран
Fabula Branding,Реклама / маркетинг / медиа,fabula.by,Управляющий / директор по развитию,Директор — Кашкан Д.В.; Основатель и креативный директор — Кашкан О.,+375 17 271-01-23; +375 29 685-77-46,brand@fabula.by,https://www.facebook.com/FabulaBY/,B,собран
IPR Belarus,Реклама / маркетинг / медиа,ipr.by,Управляющий / директор по развитию,Директор — Придверова И.,+375 17 210-08-67; +375 17 294-65-51,info@ipr.by,,B,собран
Рекламная группа Акробат,Реклама / маркетинг / медиа,acrobat.by,Управляющий / директор по развитию,,+375 17 320-96-67; +375 29 167-00-02,info@acrobat.by,,B,собран
WLW Group,Реклама / маркетинг / медиа,wlw.by,Управляющий / директор по развитию,,+375 29 380-09-99,info@wlw.by,https://www.youtube.com/@wlwgroup7642,B,собран
ZIEX,Реклама / маркетинг / медиа,ziex.by,Управляющий / директор по развитию,Директор — Усиков А.,+375 17 266-51-16; +375 44 701-88-88,info@ziex.by; sale@ziex.by,https://www.facebook.com/ZiexProfessional,B,собран
Popcorn,Реклама / маркетинг / медиа,popcornpro.by,Управляющий / директор по развитию,,+375 29 681-09-90,hello@popcornpro.by; hello@popcornagency.by,https://www.instagram.com/pop.corn.media/,B,собран
PromoFilm,Реклама / маркетинг / медиа,promofilm.by,Управляющий / директор по развитию,Руководитель продакшн-студии — Курьян Д.,+375 44 746-44-44,info@promofilm.by,https://www.facebook.com/Promofilm.by/,B,собран
Минскреклама,Реклама / маркетинг / медиа,minsk-reklama.by,Управляющий / директор по развитию,Директор — Калитина Т.Л.,+375 17 230-27-37; +375 29 653-57-37; +375 17 230-33-03,info@minsk-reklama.by; ma@minsk-reklama.by,,B,собран
Фабрика рекламы,Реклама / маркетинг / медиа,fabrika.by,Управляющий / директор по развитию,Директор и учредитель — Лупанов М.В.,+375 29 329-20-00,info@fabrika.by,,B,собран
Территория БТЛ,Реклама / маркетинг / медиа,regionbtl.by,Управляющий / директор по развитию,,+375 17 508-95-57; +375 17 508-95-58; +375 29 662-34-46,,,B,частично
FIRSTAR MEDIA,Реклама / маркетинг / медиа,firstarmedia.by,Управляющий / директор по развитию,,+375 29 233-80-37,admin@firstarmedia.by,,B,собран
Webcom Group,Реклама / маркетинг / медиа,webcom-belarus.by,Управляющий / директор по развитию,Директор и соучредитель — Царик С.; Коммерческий директор — Ларченкова Ю.,+375 17 375-34-56; +375 44 506-07-06; +375 29 577-77-24,info@webcom-group.by,,B,собран
Медиа Альянс,Реклама / маркетинг / медиа,mediaalyans.by,Управляющий / директор по развитию,Директор — Багровец С.,+375 17 336-11-88; +375 17 207-33-86; +375 29 336-11-88,ma@mediaalyans.by,https://www.facebook.com/mediaalyans.minsk/; https://www.youtube.com/@media_alyans,B,собран
MAXI.BY media,Реклама / маркетинг / медиа,media-maxi.by,Управляющий / директор по развитию,Директор — Калинович О.Е.,+375 17 388-24-23; +375 29 700-34-11; +375 29 101-23-23,info@media-maxi.by,,B,собран
Барсуков Медиа,Реклама / маркетинг / медиа,barsukov.by,Управляющий / директор по развитию,Основатель и директор — Барсуков А.Ю.,+375 29 692-54-44; +375 33 347-54-44,info@barsukov.by,,B,собран
KUKI Agency,Реклама / маркетинг / медиа,kuki.agency,Управляющий / директор по развитию,,,hello@kuki.agency,https://www.behance.net/kukiagency; https://www.linkedin.com/company/kuki-agency,B,частично
Vondel,Реклама / маркетинг / медиа,vondel.by,Управляющий / директор по развитию,Директор по развитию — Крутько В.,+375 17 289-10-09; +375 17 374-11-06; +375 17 374-20-09,info@vondel.by,,B,собран
Credere,Реклама / маркетинг / медиа,credere.by,Управляющий / директор по развитию,,+375 17 337-62-68; +375 17 237-91-82; +375 17 237-92-24; +375 29 338-68-77; +375 44 752-80-15,info@credere.by,https://www.facebook.com/credere2009/,B,собран
ROCKY media,Реклама / маркетинг / медиа,rocky.by,Управляющий / директор по развитию,,+375 29 144-44-30,sales@rocky.by,,B,собран
Retvor,Реклама / маркетинг / медиа,retvor.by,Управляющий / директор по развитию,Индивидуальный предприниматель — Сенько А.А.,+375 29 720-50-47; +375 29 823-50-55,videograf@retvor.by,,B,собран
Lime Media,Реклама / маркетинг / медиа,lmedia.by,Управляющий / директор по развитию,,+375 17 210-50-71; +375 29 680-90-35,info@lmedia.by,https://www.facebook.com/Lmedia.by,B,собран
Fishka.by,Реклама / маркетинг / медиа,fishka.by,Управляющий / директор по развитию,Директор — Юдин Г.А.,+375 17 203-11-74; +375 29 160-10-10,info@fishka.by; client@fishka.by,https://www.youtube.com/@fishka_by,B,собран
Salmon Media,Реклама / маркетинг / медиа,salmonmedia.by,Управляющий / директор по развитию,Директор — Шершнева М.,+375 17 378-17-94,,https://www.facebook.com/salmon.media/,B,частично
Витебский картонажно-полиграфический комбинат,Полиграфия / упаковка,vitkpk.by,Директор / коммерческий директор,Управляющий — Джандаров Е.,+375 212 66-53-52; +375 212 66-23-86; +375 212 67-46-61,vitkpk@vitkpk.by,,B,собран
Альтиора,Полиграфия / упаковка,altiora.by,Директор / коммерческий директор,Директор — Савашинский О.,+375 17 294-90-94; +375 17 305-35-35; +375 29 122-88-99; +375 33 332-88-99,info@altiora.by,,B,собран
Поликрафт,Полиграфия / упаковка,polycraft.by,Директор / коммерческий директор,Директор — Спильник Е.Р.,+375 17 378-26-52; +375 17 378-15-33; +375 29 142-05-95; +375 29 637-68-07,info@polycraft.by,,B,собран
Белпромтара,Полиграфия / упаковка,beltara.by,Директор / коммерческий директор,,+375 17 378-83-10,mintara@belhim.by,,B,собран
